StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0001,12,1,4
0001,12,2,4
0001,12,3,4
0001,12,4,1
0001,12,5,4
0001,12,6,3
0001,12,7,1
0001,12,8,4
0001,12,9,3
0001,12,10,2
0001,12,11,2
0001,12,12,1
0002,10,1,5
0002,10,2,4
0002,10,3,1
0002,10,4,4
0002,10,5,4
0002,10,6,4
0002,10,7,5
0002,10,8,3
0002,10,9,2
0002,10,10,1
0003,11,1,5
0003,11,2,6
0003,11,3,5
0003,11,4,4
0003,11,5,5
0003,11,6,5
0003,11,7,3
0003,11,8,4
0003,11,9,1
0003,11,10,1
0003,11,11,1
0004,14,1,5
0004,14,2,4
0004,14,3,5
0004,14,4,4
0004,14,5,5
0004,14,6,4
0004,14,7,4
0004,14,8,1
0004,14,9,3
0004,14,10,4
0004,14,11,1
0004,14,12,5
0004,14,13,1
0004,14,14,3
0005,8,1,5
0005,8,2,5
0005,8,3,4
0005,8,4,4
0005,8,5,1
0005,8,6,4
0005,8,7,4
0005,8,8,4
0006,10,1,5
0006,10,2,6
0006,10,3,5
0006,10,4,4
0006,10,5,1
0006,10,6,4
0006,10,7,4
0006,10,8,5
0006,10,9,4
0006,10,10,1
0007,11,1,4
0007,11,2,5
0007,11,3,4
0007,11,4,6
0007,11,5,4
0007,11,6,4
0007,11,7,1
0007,11,8,3
0007,11,9,3
0007,11,10,4
0007,11,11,1
0008,11,1,4
0008,11,2,5
0008,11,3,1
0008,11,4,4
0008,11,5,4
0008,11,6,4
0008,11,7,4
0008,11,8,1
0008,11,9,4
0008,11,10,1
0008,11,11,1
0009,12,1,5
0009,12,2,4
0009,12,3,4
0009,12,4,5
0009,12,5,4
0009,12,6,1
0009,12,7,3
0009,12,8,4
0009,12,9,1
0009,12,10,4
0009,12,11,1
0009,12,12,1
0010,9,1,5
0010,9,2,5
0010,9,3,4
0010,9,4,4
0010,9,5,1
0010,9,6,5
0010,9,7,4
0010,9,8,1
0010,9,9,3
0011,12,1,4
0011,12,2,5
0011,12,3,4
0011,12,4,4
0011,12,5,1
0011,12,6,4
0011,12,7,4
0011,12,8,1
0011,12,9,1
0011,12,10,3
0011,12,11,2
0011,12,12,1
0012,8,1,5
0012,8,2,5
0012,8,3,5
0012,8,4,4
0012,8,5,5
0012,8,6,4
0012,8,7,3
0012,8,8,2
0013,9,1,5
0013,9,2,5
0013,9,3,5
0013,9,4,4
0013,9,5,4
0013,9,6,4
0013,9,7,1
0013,9,8,4
0013,9,9,3
0014,10,1,5
0014,10,2,5
0014,10,3,5
0014,10,4,4
0014,10,5,1
0014,10,6,4
0014,10,7,4
0014,10,8,5
0014,10,9,1
0014,10,10,3
0015,10,1,4
0015,10,2,5
0015,10,3,1
0015,10,4,4
0015,10,5,5
0015,10,6,4
0015,10,7,5
0015,10,8,3
0015,10,9,2
0015,10,10,1
0016,11,1,4
0016,11,2,5
0016,11,3,5
0016,11,4,4
0016,11,5,1
0016,11,6,4
0016,11,7,5
0016,11,8,1
0016,11,9,1
0016,11,10,3
0016,11,11,1
0017,9,1,6
0017,9,2,6
0017,9,3,4
0017,9,4,4
0017,9,5,1
0017,9,6,4
0017,9,7,5
0017,9,8,4
0017,9,9,1
0018,5,1,4
0018,5,2,5
0018,5,3,3
0018,5,4,3
0018,5,5,3
0019,10,1,6
0019,10,2,6
0019,10,3,4
0019,10,4,5
0019,10,5,3
0019,10,6,1
0019,10,7,4
0019,10,8,4
0019,10,9,2
0019,10,10,1
0020,10,1,6
0020,10,2,4
0020,10,3,1
0020,10,4,6
0020,10,5,5
0020,10,6,5
0020,10,7,4
0020,10,8,5
0020,10,9,2
0020,10,10,1
0021,10,1,5
0021,10,2,5
0021,10,3,4
0021,10,4,5
0021,10,5,4
0021,10,6,5
0021,10,7,3
0021,10,8,2
0021,10,9,2
0021,10,10,1
0022,13,1,5
0022,13,2,6
0022,13,3,4
0022,13,4,1
0022,13,5,5
0022,13,6,4
0022,13,7,4
0022,13,8,3
0022,13,9,1
0022,13,10,3
0022,13,11,2
0022,13,12,1
0022,13,13,3
0023,14,1,6
0023,14,2,4
0023,14,3,1
0023,14,4,4
0023,14,5,4
0023,14,6,4
0023,14,7,1
0023,14,8,4
0023,14,9,4
0023,14,10,1
0023,14,11,4
0023,14,12,2
0023,14,13,1
0023,14,14,1
0024,13,1,5
0024,13,2,4
0024,13,3,5
0024,13,4,6
0024,13,5,1
0024,13,6,5
0024,13,7,5
0024,13,8,5
0024,13,9,4
0024,13,10,2
0024,13,11,1
0024,13,12,1
0024,13,13,1
0025,10,1,6
0025,10,2,5
0025,10,3,5
0025,10,4,5
0025,10,5,4
0025,10,6,5
0025,10,7,3
0025,10,8,4
0025,10,9,1
0025,10,10,1
0026,9,1,5
0026,9,2,5
0026,9,3,5
0026,9,4,4
0026,9,5,5
0026,9,6,1
0026,9,7,4
0026,9,8,3
0026,9,9,2
0027,10,1,4
0027,10,2,5
0027,10,3,4
0027,10,4,5
0027,10,5,1
0027,10,6,4
0027,10,7,3
0027,10,8,4
0027,10,9,4
0027,10,10,1
0028,10,1,6
0028,10,2,6
0028,10,3,5
0028,10,4,4
0028,10,5,4
0028,10,6,3
0028,10,7,3
0028,10,8,3
0028,10,9,1
0028,10,10,1
0029,10,1,4
0029,10,2,5
0029,10,3,5
0029,10,4,6
0029,10,5,5
0029,10,6,4
0029,10,7,3
0029,10,8,3
0029,10,9,2
0029,10,10,1
0030,9,1,5
0030,9,2,4
0030,9,3,4
0030,9,4,5
0030,9,5,4
0030,9,6,4
0030,9,7,1
0030,9,8,3
0030,9,9,3
0031,8,1,5
0031,8,2,5
0031,8,3,5
0031,8,4,4
0031,8,5,4
0031,8,6,4
0031,8,7,3
0031,8,8,3
0032,11,1,5
0032,11,2,4
0032,11,3,4
0032,11,4,4
0032,11,5,1
0032,11,6,1
0032,11,7,4
0032,11,8,4
0032,11,9,3
0032,11,10,2
0032,11,11,2
0033,10,1,6
0033,10,2,5
0033,10,3,5
0033,10,4,5
0033,10,5,5
0033,10,6,5
0033,10,7,3
0033,10,8,3
0033,10,9,4
0033,10,10,1
0034,15,1,6
0034,15,2,4
0034,15,3,1
0034,15,4,4
0034,15,5,4
0034,15,6,1
0034,15,7,3
0034,15,8,4
0034,15,9,1
0034,15,10,1
0034,15,11,4
0034,15,12,3
0034,15,13,3
0034,15,14,1
0034,15,15,1
0035,12,1,5
0035,12,2,6
0035,12,3,4
0035,12,4,6
0035,12,5,4
0035,12,6,1
0035,12,7,1
0035,12,8,4
0035,12,9,5
0035,12,10,3
0035,12,11,4
0035,12,12,1
0036,9,1,5
0036,9,2,4
0036,9,3,5
0036,9,4,4
0036,9,5,4
0036,9,6,4
0036,9,7,4
0036,9,8,2
0036,9,9,1
0037,11,1,5
0037,11,2,5
0037,11,3,4
0037,11,4,5
0037,11,5,1
0037,11,6,4
0037,11,7,4
0037,11,8,2
0037,11,9,1
0037,11,10,1
0037,11,11,1
0038,9,1,5
0038,9,2,4
0038,9,3,1
0038,9,4,4
0038,9,5,4
0038,9,6,4
0038,9,7,4
0038,9,8,3
0038,9,9,1
0039,10,1,5
0039,10,2,6
0039,10,3,5
0039,10,4,4
0039,10,5,4
0039,10,6,4
0039,10,7,3
0039,10,8,4
0039,10,9,1
0039,10,10,4
0040,12,1,5
0040,12,2,5
0040,12,3,4
0040,12,4,1
0040,12,5,6
0040,12,6,5
0040,12,7,1
0040,12,8,4
0040,12,9,5
0040,12,10,1
0040,12,11,4
0040,12,12,1
0041,12,1,4
0041,12,2,5
0041,12,3,4
0041,12,4,1
0041,12,5,4
0041,12,6,4
0041,12,7,1
0041,12,8,4
0041,12,9,2
0041,12,10,1
0041,12,11,1
0041,12,12,1
0042,10,1,5
0042,10,2,5
0042,10,3,4
0042,10,4,4
0042,10,5,1
0042,10,6,5
0042,10,7,4
0042,10,8,1
0042,10,9,4
0042,10,10,4
0043,11,1,5
0043,11,2,5
0043,11,3,4
0043,11,4,5
0043,11,5,5
0043,11,6,4
0043,11,7,1
0043,11,8,4
0043,11,9,5
0043,11,10,1
0043,11,11,1
0044,14,1,6
0044,14,2,5
0044,14,3,1
0044,14,4,4
0044,14,5,3
0044,14,6,1
0044,14,7,5
0044,14,8,4
0044,14,9,1
0044,14,10,4
0044,14,11,3
0044,14,12,1
0044,14,13,4
0044,14,14,3
0045,9,1,5
0045,9,2,4
0045,9,3,5
0045,9,4,5
0045,9,5,5
0045,9,6,4
0045,9,7,1
0045,9,8,3
0045,9,9,2
0046,9,1,4
0046,9,2,5
0046,9,3,4
0046,9,4,4
0046,9,5,1
0046,9,6,4
0046,9,7,4
0046,9,8,3
0046,9,9,2
0047,8,1,5
0047,8,2,6
0047,8,3,5
0047,8,4,6
0047,8,5,5
0047,8,6,5
0047,8,7,4
0047,8,8,4
0048,9,1,5
0048,9,2,6
0048,9,3,4
0048,9,4,6
0048,9,5,5
0048,9,6,5
0048,9,7,3
0048,9,8,3
0048,9,9,3
0049,12,1,4
0049,12,2,5
0049,12,3,1
0049,12,4,4
0049,12,5,5
0049,12,6,4
0049,12,7,4
0049,12,8,1
0049,12,9,3
0049,12,10,1
0049,12,11,4
0049,12,12,1
0050,8,1,4
0050,8,2,5
0050,8,3,4
0050,8,4,4
0050,8,5,5
0050,8,6,4
0050,8,7,4
0050,8,8,2
0051,10,1,5
0051,10,2,5
0051,10,3,4
0051,10,4,4
0051,10,5,5
0051,10,6,1
0051,10,7,3
0051,10,8,4
0051,10,9,4
0051,10,10,1
0052,8,1,5
0052,8,2,5
0052,8,3,5
0052,8,4,5
0052,8,5,4
0052,8,6,4
0052,8,7,3
0052,8,8,2
0053,14,1,6
0053,14,2,5
0053,14,3,4
0053,14,4,4
0053,14,5,4
0053,14,6,4
0053,14,7,1
0053,14,8,1
0053,14,9,5
0053,14,10,5
0053,14,11,1
0053,14,12,1
0053,14,13,4
0053,14,14,2
0054,10,1,5
0054,10,2,5
0054,10,3,4
0054,10,4,4
0054,10,5,4
0054,10,6,4
0054,10,7,1
0054,10,8,4
0054,10,9,3
0054,10,10,1
0055,10,1,4
0055,10,2,5
0055,10,3,4
0055,10,4,2
0055,10,5,4
0055,10,6,4
0055,10,7,5
0055,10,8,3
0055,10,9,1
0055,10,10,2
0056,11,1,5
0056,11,2,4
0056,11,3,4
0056,11,4,5
0056,11,5,1
0056,11,6,3
0056,11,7,5
0056,11,8,3
0056,11,9,3
0056,11,10,1
0056,11,11,1
0057,11,1,5
0057,11,2,4
0057,11,3,1
0057,11,4,4
0057,11,5,4
0057,11,6,5
0057,11,7,4
0057,11,8,4
0057,11,9,3
0057,11,10,3
0057,11,11,3
0058,9,1,5
0058,9,2,4
0058,9,3,4
0058,9,4,4
0058,9,5,1
0058,9,6,5
0058,9,7,5
0058,9,8,3
0058,9,9,2
0059,9,1,5
0059,9,2,5
0059,9,3,1
0059,9,4,4
0059,9,5,4
0059,9,6,1
0059,9,7,4
0059,9,8,4
0059,9,9,3
0060,12,1,5
0060,12,2,5
0060,12,3,1
0060,12,4,4
0060,12,5,4
0060,12,6,1
0060,12,7,4
0060,12,8,4
0060,12,9,1
0060,12,10,2
0060,12,11,1
0060,12,12,1
0061,8,1,5
0061,8,2,5
0061,8,3,4
0061,8,4,4
0061,8,5,5
0061,8,6,4
0061,8,7,3
0061,8,8,2
0062,11,1,5
0062,11,2,4
0062,11,3,1
0062,11,4,4
0062,11,5,4
0062,11,6,1
0062,11,7,4
0062,11,8,4
0062,11,9,1
0062,11,10,3
0062,11,11,4
0063,9,1,6
0063,9,2,6
0063,9,3,4
0063,9,4,5
0063,9,5,4
0063,9,6,4
0063,9,7,1
0063,9,8,3
0063,9,9,3
0064,8,1,6
0064,8,2,6
0064,8,3,5
0064,8,4,4
0064,8,5,4
0064,8,6,5
0064,8,7,4
0064,8,8,3
0065,12,1,5
0065,12,2,4
0065,12,3,1
0065,12,4,4
0065,12,5,4
0065,12,6,1
0065,12,7,4
0065,12,8,4
0065,12,9,3
0065,12,10,3
0065,12,11,1
0065,12,12,1
0066,9,1,4
0066,9,2,4
0066,9,3,4
0066,9,4,4
0066,9,5,1
0066,9,6,4
0066,9,7,4
0066,9,8,3
0066,9,9,4
0067,8,1,5
0067,8,2,4
0067,8,3,4
0067,8,4,5
0067,8,5,4
0067,8,6,4
0067,8,7,4
0067,8,8,2
0068,9,1,6
0068,9,2,5
0068,9,3,5
0068,9,4,5
0068,9,5,4
0068,9,6,5
0068,9,7,5
0068,9,8,3
0068,9,9,1
0069,11,1,4
0069,11,2,5
0069,11,3,4
0069,11,4,5
0069,11,5,4
0069,11,6,3
0069,11,7,1
0069,11,8,3
0069,11,9,2
0069,11,10,1
0069,11,11,1
0070,8,1,5
0070,8,2,5
0070,8,3,4
0070,8,4,5
0070,8,5,5
0070,8,6,4
0070,8,7,3
0070,8,8,1
0071,10,1,5
0071,10,2,5
0071,10,3,5
0071,10,4,5
0071,10,5,4
0071,10,6,4
0071,10,7,1
0071,10,8,3
0071,10,9,3
0071,10,10,1
0072,9,1,5
0072,9,2,5
0072,9,3,4
0072,9,4,4
0072,9,5,1
0072,9,6,4
0072,9,7,4
0072,9,8,3
0072,9,9,2
0073,9,1,5
0073,9,2,6
0073,9,3,5
0073,9,4,4
0073,9,5,4
0073,9,6,6
0073,9,7,3
0073,9,8,1
0073,9,9,5
0074,12,1,5
0074,12,2,4
0074,12,3,4
0074,12,4,4
0074,12,5,1
0074,12,6,4
0074,12,7,4
0074,12,8,1
0074,12,9,3
0074,12,10,1
0074,12,11,2
0074,12,12,1
0075,12,1,6
0075,12,2,5
0075,12,3,1
0075,12,4,4
0075,12,5,1
0075,12,6,4
0075,12,7,5
0075,12,8,5
0075,12,9,3
0075,12,10,5
0075,12,11,1
0075,12,12,3
0076,10,1,5
0076,10,2,4
0076,10,3,5
0076,10,4,4
0076,10,5,4
0076,10,6,4
0076,10,7,3
0076,10,8,1
0076,10,9,4
0076,10,10,2
0077,12,1,5
0077,12,2,6
0077,12,3,4
0077,12,4,4
0077,12,5,5
0077,12,6,3
0077,12,7,4
0077,12,8,3
0077,12,9,1
0077,12,10,2
0077,12,11,1
0077,12,12,2
0078,11,1,4
0078,11,2,5
0078,11,3,4
0078,11,4,5
0078,11,5,1
0078,11,6,5
0078,11,7,4
0078,11,8,4
0078,11,9,4
0078,11,10,1
0078,11,11,1
0079,10,1,5
0079,10,2,4
0079,10,3,5
0079,10,4,5
0079,10,5,4
0079,10,6,5
0079,10,7,3
0079,10,8,4
0079,10,9,1
0079,10,10,1
0080,10,1,5
0080,10,2,4
0080,10,3,4
0080,10,4,5
0080,10,5,4
0080,10,6,4
0080,10,7,3
0080,10,8,3
0080,10,9,1
0080,10,10,2
0081,12,1,5
0081,12,2,6
0081,12,3,4
0081,12,4,1
0081,12,5,4
0081,12,6,3
0081,12,7,4
0081,12,8,5
0081,12,9,1
0081,12,10,3
0081,12,11,1
0081,12,12,2
0082,11,1,5
0082,11,2,4
0082,11,3,1
0082,11,4,4
0082,11,5,4
0082,11,6,1
0082,11,7,4
0082,11,8,4
0082,11,9,1
0082,11,10,2
0082,11,11,2
0083,8,1,5
0083,8,2,4
0083,8,3,4
0083,8,4,4
0083,8,5,4
0083,8,6,5
0083,8,7,3
0083,8,8,4
0084,13,1,5
0084,13,2,4
0084,13,3,5
0084,13,4,4
0084,13,5,4
0084,13,6,1
0084,13,7,4
0084,13,8,3
0084,13,9,1
0084,13,10,3
0084,13,11,4
0084,13,12,1
0084,13,13,3
0085,9,1,5
0085,9,2,4
0085,9,3,4
0085,9,4,5
0085,9,5,1
0085,9,6,5
0085,9,7,4
0085,9,8,1
0085,9,9,3
0086,9,1,6
0086,9,2,5
0086,9,3,5
0086,9,4,4
0086,9,5,5
0086,9,6,4
0086,9,7,4
0086,9,8,3
0086,9,9,1
0087,13,1,4
0087,13,2,5
0087,13,3,4
0087,13,4,4
0087,13,5,5
0087,13,6,5
0087,13,7,1
0087,13,8,3
0087,13,9,3
0087,13,10,1
0087,13,11,3
0087,13,12,3
0087,13,13,1
0088,10,1,4
0088,10,2,5
0088,10,3,4
0088,10,4,4
0088,10,5,4
0088,10,6,4
0088,10,7,3
0088,10,8,1
0088,10,9,1
0088,10,10,2
0089,10,1,4
0089,10,2,5
0089,10,3,5
0089,10,4,5
0089,10,5,5
0089,10,6,1
0089,10,7,4
0089,10,8,3
0089,10,9,2
0089,10,10,1
0090,10,1,5
0090,10,2,5
0090,10,3,4
0090,10,4,1
0090,10,5,3
0090,10,6,4
0090,10,7,4
0090,10,8,3
0090,10,9,1
0090,10,10,2
0091,9,1,5
0091,9,2,4
0091,9,3,1
0091,9,4,4
0091,9,5,4
0091,9,6,4
0091,9,7,4
0091,9,8,4
0091,9,9,2
0092,12,1,4
0092,12,2,5
0092,12,3,5
0092,12,4,4
0092,12,5,4
0092,12,6,4
0092,12,7,1
0092,12,8,1
0092,12,9,3
0092,12,10,5
0092,12,11,1
0092,12,12,1
0093,10,1,4
0093,10,2,4
0093,10,3,4
0093,10,4,4
0093,10,5,4
0093,10,6,4
0093,10,7,4
0093,10,8,3
0093,10,9,1
0093,10,10,1
0094,10,1,5
0094,10,2,6
0094,10,3,5
0094,10,4,5
0094,10,5,4
0094,10,6,1
0094,10,7,4
0094,10,8,3
0094,10,9,4
0094,10,10,1
0095,10,1,4
0095,10,2,4
0095,10,3,5
0095,10,4,4
0095,10,5,5
0095,10,6,4
0095,10,7,1
0095,10,8,3
0095,10,9,4
0095,10,10,1
0096,10,1,5
0096,10,2,5
0096,10,3,4
0096,10,4,4
0096,10,5,4
0096,10,6,1
0096,10,7,4
0096,10,8,4
0096,10,9,3
0096,10,10,1
0097,8,1,5
0097,8,2,4
0097,8,3,4
0097,8,4,5
0097,8,5,4
0097,8,6,4
0097,8,7,4
0097,8,8,3
0098,9,1,5
0098,9,2,5
0098,9,3,4
0098,9,4,5
0098,9,5,4
0098,9,6,4
0098,9,7,4
0098,9,8,3
0098,9,9,1
0099,10,1,5
0099,10,2,4
0099,10,3,5
0099,10,4,4
0099,10,5,4
0099,10,6,4
0099,10,7,1
0099,10,8,1
0099,10,9,3
0099,10,10,2
0100,10,1,4
0100,10,2,5
0100,10,3,4
0100,10,4,4
0100,10,5,1
0100,10,6,4
0100,10,7,4
0100,10,8,1
0100,10,9,4
0100,10,10,3
0101,14,1,5
0101,14,2,4
0101,14,3,4
0101,14,4,4
0101,14,5,1
0101,14,6,4
0101,14,7,4
0101,14,8,1
0101,14,9,2
0101,14,10,4
0101,14,11,3
0101,14,12,1
0101,14,13,1
0101,14,14,1
0102,11,1,5
0102,11,2,5
0102,11,3,5
0102,11,4,4
0102,11,5,5
0102,11,6,4
0102,11,7,3
0102,11,8,4
0102,11,9,3
0102,11,10,1
0102,11,11,2
0103,12,1,6
0103,12,2,5
0103,12,3,4
0103,12,4,2
0103,12,5,5
0103,12,6,5
0103,12,7,1
0103,12,8,4
0103,12,9,3
0103,12,10,4
0103,12,11,3
0103,12,12,1
0104,10,1,5
0104,10,2,5
0104,10,3,5
0104,10,4,4
0104,10,5,4
0104,10,6,4
0104,10,7,1
0104,10,8,4
0104,10,9,2
0104,10,10,1
0105,7,1,5
0105,7,2,4
0105,7,3,4
0105,7,4,4
0105,7,5,5
0105,7,6,4
0105,7,7,3
0106,9,1,4
0106,9,2,5
0106,9,3,4
0106,9,4,4
0106,9,5,4
0106,9,6,4
0106,9,7,1
0106,9,8,4
0106,9,9,3
0107,9,1,5
0107,9,2,4
0107,9,3,5
0107,9,4,4
0107,9,5,5
0107,9,6,5
0107,9,7,3
0107,9,8,1
0107,9,9,3
0108,10,1,5
0108,10,2,4
0108,10,3,4
0108,10,4,5
0108,10,5,4
0108,10,6,5
0108,10,7,4
0108,10,8,3
0108,10,9,1
0108,10,10,2
0109,9,1,6
0109,9,2,5
0109,9,3,5
0109,9,4,5
0109,9,5,4
0109,9,6,4
0109,9,7,3
0109,9,8,2
0109,9,9,2
0110,6,1,4
0110,6,2,5
0110,6,3,4
0110,6,4,4
0110,6,5,2
0110,6,6,2
0111,10,1,5
0111,10,2,5
0111,10,3,1
0111,10,4,4
0111,10,5,4
0111,10,6,4
0111,10,7,4
0111,10,8,3
0111,10,9,1
0111,10,10,4
0112,9,1,6
0112,9,2,6
0112,9,3,5
0112,9,4,4
0112,9,5,4
0112,9,6,5
0112,9,7,3
0112,9,8,4
0112,9,9,3
0113,8,1,5
0113,8,2,5
0113,8,3,5
0113,8,4,4
0113,8,5,4
0113,8,6,4
0113,8,7,3
0113,8,8,3
0114,11,1,5
0114,11,2,5
0114,11,3,4
0114,11,4,4
0114,11,5,4
0114,11,6,1
0114,11,7,4
0114,11,8,4
0114,11,9,3
0114,11,10,3
0114,11,11,2
0115,9,1,5
0115,9,2,5
0115,9,3,4
0115,9,4,4
0115,9,5,1
0115,9,6,5
0115,9,7,4
0115,9,8,3
0115,9,9,3
0116,12,1,6
0116,12,2,5
0116,12,3,1
0116,12,4,5
0116,12,5,3
0116,12,6,3
0116,12,7,5
0116,12,8,4
0116,12,9,4
0116,12,10,1
0116,12,11,1
0116,12,12,1
0117,8,1,5
0117,8,2,4
0117,8,3,5
0117,8,4,4
0117,8,5,4
0117,8,6,5
0117,8,7,4
0117,8,8,1
0118,10,1,5
0118,10,2,5
0118,10,3,5
0118,10,4,5
0118,10,5,5
0118,10,6,3
0118,10,7,1
0118,10,8,5
0118,10,9,2
0118,10,10,1
0119,14,1,4
0119,14,2,5
0119,14,3,5
0119,14,4,3
0119,14,5,1
0119,14,6,4
0119,14,7,4
0119,14,8,1
0119,14,9,3
0119,14,10,2
0119,14,11,1
0119,14,12,1
0119,14,13,1
0119,14,14,1
0120,8,1,6
0120,8,2,5
0120,8,3,4
0120,8,4,4
0120,8,5,5
0120,8,6,4
0120,8,7,4
0120,8,8,2
0121,12,1,5
0121,12,2,5
0121,12,3,4
0121,12,4,4
0121,12,5,4
0121,12,6,3
0121,12,7,1
0121,12,8,3
0121,12,9,4
0121,12,10,1
0121,12,11,3
0121,12,12,1
0122,11,1,4
0122,11,2,5
0122,11,3,4
0122,11,4,4
0122,11,5,5
0122,11,6,4
0122,11,7,3
0122,11,8,1
0122,11,9,1
0122,11,10,3
0122,11,11,3
0123,10,1,5
0123,10,2,4
0123,10,3,5
0123,10,4,4
0123,10,5,4
0123,10,6,4
0123,10,7,4
0123,10,8,4
0123,10,9,3
0123,10,10,1
0124,10,1,5
0124,10,2,5
0124,10,3,1
0124,10,4,5
0124,10,5,4
0124,10,6,5
0124,10,7,4
0124,10,8,1
0124,10,9,3
0124,10,10,2
0125,11,1,5
0125,11,2,5
0125,11,3,4
0125,11,4,4
0125,11,5,4
0125,11,6,4
0125,11,7,1
0125,11,8,2
0125,11,9,3
0125,11,10,1
0125,11,11,1
0126,12,1,5
0126,12,2,5
0126,12,3,4
0126,12,4,4
0126,12,5,5
0126,12,6,1
0126,12,7,4
0126,12,8,3
0126,12,9,2
0126,12,10,1
0126,12,11,1
0126,12,12,1
0127,12,1,5
0127,12,2,4
0127,12,3,4
0127,12,4,3
0127,12,5,1
0127,12,6,4
0127,12,7,4
0127,12,8,1
0127,12,9,3
0127,12,10,3
0127,12,11,2
0127,12,12,1
0128,11,1,5
0128,11,2,5
0128,11,3,5
0128,11,4,4
0128,11,5,4
